Validation MSE loss,Validation kmeans loss,epoch,step,Training MSE loss,Training kmeans loss
0.8006845712661743,5.639385562972166e-06,0,349,,
,,0,349,0.7968215346336365,0.0002783223753795028
0.8006669282913208,1.272338408853102e-06,1,699,,
,,1,699,0.7966016530990601,3.2577727324678563e-06
0.800666093826294,1.4935386616343749e-06,2,1049,,
,,2,1049,0.7965887784957886,2.002028168135439e-06
0.8006616234779358,3.4284275329810043e-07,3,1399,,
,,3,1399,0.7965836524963379,9.142794397121179e-07
0.8006616830825806,2.1211153011790884e-07,4,1749,,
,,4,1749,0.7965797185897827,3.3043750136130257e-07
